Games	Sport	Event	Gender	Medallist	CountryCode	CountryName	Medal	Result	Unit	ResultInSeconds
1896	Athletics	100m Men	Men	Tom Burke	USA	United States of America	Gold	12	#:DD	12
1896	Athletics	100m Men	Men	Fritz Hofmann	DEU	Germany	Silver	12.2	#:DD	12.2
1896	Athletics	100m Men	Men	Francis Lane	USA	United States of America	Bronze	12.6	#:DD	12.6
1896	Athletics	100m Men	Men	Alajos Szokolyi	HUN	Hungary	Bronze	12.6	#:DD	12.6
1896	Athletics	110m Hurdles Men	Men	Tom Curtis	USA	United States of America	Gold	17.6	#:DD	17.6
1896	Athletics	110m Hurdles Men	Men	Grantley Goulding	GBR	Great Britain	Silver	17.7	#:DD	17.7
1896	Athletics	1500m Men	Men	Teddy Flack	AUS	Australia	Gold	04:33.2	M:SS:DD	273.2
1896	Athletics	1500m Men	Men	Arthur Blake	USA	United States of America	Silver	04:34.0	M:SS:DD	274
1896	Athletics	1500m Men	Men	Albin Lermusiaux	FRA	France	Bronze	04:36.0	M:SS:DD	276
1896	Athletics	400m Men	Men	Tom Burke	USA	United States of America	Gold	54.2	#:DD	54.2
1896	Athletics	400m Men	Men	Herbert Jamison	USA	United States of America	Silver	54.4	#:DD	54.4
1896	Athletics	400m Men	Men	Charles Gmelin	GBR	Great Britain	Bronze	54.6	#:DD	54.6
1896	Athletics	800m Men	Men	Teddy Flack	AUS	Australia	Gold	02:11.0	M:SS:DD	131
1896	Athletics	800m Men	Men	N?ndor D?ni	HUN	Hungary	Silver	02:11.8	M:SS:DD	131.8
1896	Athletics	800m Men	Men	Demitrios Golemis	GRE	Greece	Bronze	02:12.6	M:SS:DD	132.6
1896	Athletics	Marathon Men	Men	Spiridon Louis	GRE	Greece	Gold	02:58:50	H:MM:SS	10730
1896	Athletics	Marathon Men	Men	Charilaos Vasilakos	GRE	Greece	Silver	03:06:03	H:MM:SS	11163
1896	Athletics	Marathon Men	Men	Gyula Kellner	HUN	Hungary	Bronze	03:09:35	H:MM:SS	11375
1896	Swimming	100m Freestyle Men	Men	Alfr?d Haj?s	HUN	Hungary	Gold	01:22.2	M:S:DD	82.2
1896	Swimming	100m Freestyle Men	Men	Otto Herschmann	AUT	Austria	Silver	01:22.8	M:S:DD	82.8
1900	Athletics	100m Men	Men	Frank Jarvis	USA	United States of America	Gold	11	#:DD	11
1900	Athletics	100m Men	Men	Walter Tewksbury	USA	United States of America	Silver	11.1	#:DD	11.1
1900	Athletics	100m Men	Men	Stan Rowley	AUS	Australia	Bronze	11.2	#:DD	11.2
1900	Athletics	110m Hurdles Men	Men	Alvin Kraenzlein	USA	United States of America	Gold	15.4	#:DD	15.4
1900	Athletics	110m Hurdles Men	Men	John McLean	USA	United States of America	Silver	15.5	#:DD	15.5
1900	Athletics	110m Hurdles Men	Men	Fred Moloney	USA	United States of America	Bronze	15.6	#:DD	15.6
1900	Athletics	1500m Men	Men	Charles Bennett	GBR	Great Britain	Gold	04:06.2	M:SS:DD	246.2
1900	Athletics	1500m Men	Men	Henri Deloge	FRA	France	Silver	04:06.6	M:SS:DD	246.6
1900	Athletics	1500m Men	Men	John Bray	USA	United States of America	Bronze	04:07.2	M:SS:DD	247.2
1900	Athletics	200m Men	Men	Walter Tewksbury	USA	United States of America	Gold	22.2	#:DD	22.2
1900	Athletics	200m Men	Men	Norman Pritchard	BIN	British India	Silver	22.8	#:DD	22.8
1900	Athletics	200m Men	Men	Stan Rowley	AUS	Australia	Bronze	22.9	#:DD	22.9
1900	Athletics	400m Hurdles Men	Men	Walter Tewksbury	USA	United States of America	Gold	57.6	#:DD	57.6
1900	Athletics	400m Hurdles Men	Men	Henri Tauzin	FRA	France	Silver	58.3	#:DD	58.3
1900	Athletics	400m Hurdles Men	Men	George Orton	CAN	Canada	Bronze	59.1	#:DD	59.1
1900	Athletics	400m Men	Men	Maxey Long	USA	United States of America	Gold	49.4	#:DD	49.4
1900	Athletics	400m Men	Men	William Holland	USA	United States of America	Silver	49.6	#:DD	49.6
1900	Athletics	400m Men	Men	Ernst Schultz	DEN	Denmark	Bronze	49.8	#:DD	49.8
1900	Athletics	800m Men	Men	Alfred Tysoe	GBR	Great Britain	Gold	02:01.2	M:SS:DD	121.2
1900	Athletics	800m Men	Men	John Cregan	USA	United States of America	Silver	02:03.0	M:SS:DD	123
1900	Athletics	800m Men	Men	Dave Hall	USA	United States of America	Bronze	02:04.4	M:SS:DD	124.4
